Warning Type,Individual Accounts Warned,Servers Warned,Server Members Warned
Child Safety,"2,244",741,"28,456"
Deceptive Practices,118,1,0
Exploitative and Unsolicited Content,"2,406",102,"345,859"
Harassment and Bullying,"4,396",304,"39,894"
Hateful Conduct,"1,513",461,"36,889"
Identity and Authenticity,18,0,0
Misinformation,--,--,--
Platform Manipulation,66,24,58
Regulated or Illegal Activities,1,28,"711,095"
Self-Harm Concerns,152,0,0
Violent and Graphic Content,"1,806",265,"66,631"
Violent Extremism,--,--,--
,,,
Sum:,"12,720","1,926","1,228,882"
